3.042399e+002	0
2.941625e+002	1
2.811627e+002	2
2.665703e+002	3
2.529072e+002	4
2.401732e+002	5
2.283684e+002	6
2.174928e+002	7
2.075464e+002	8
1.985292e+002	9
1.904412e+002	10
1.832823e+002	11
1.770527e+002	12
1.686868e+002	13
1.580216e+002	14
1.482825e+002	15
1.374680e+002	16
1.276340e+002	17
1.187806e+002	18
1.109076e+002	19
1.040152e+002	20
9.810325e+001	21
9.140112e+001	22
8.428471e+001	23
7.814190e+001	24
7.297282e+001	25
6.745969e+001	26
6.242329e+001	27
5.834000e+001	28
5.487891e+001	29
5.048738e+001	30
4.578463e+001	31
4.175620e+001	32
3.732049e+001	33
3.335429e+001	34
3.029151e+001	35
2.696210e+001	36
2.360330e+001	37
2.060816e+001	38
1.793139e+001	39
1.516678e+001	40
1.278455e+001	41
1.064352e+001	42
9.184237e+000	43
7.669551e+000	44
6.904578e+000	45
6.529675e+000	46
5.731601e+000	47
5.052202e+000	48
4.493032e+000	49
4.162165e+000	50
4.039599e+000	52
3.880811e+000	53
3.685934e+000	54
3.364794e+000	55
2.991027e+000	56
2.668981e+000	57
2.219465e+000	58
1.963219e+000	59
1.935860e+000	60
1.873241e+000	61
1.767470e+000	62
1.614118e+000	63
1.455189e+000	64
1.381006e+000	65
1.269242e+000	66
1.073884e+000	67
9.201725e-001	68
8.659298e-001	69
8.174954e-001	70
7.667805e-001	71
7.039273e-001	72
6.495582e-001	73
6.106923e-001	74
5.500143e-001	75
5.250294e-001	76
4.962856e-001	77
4.654601e-001	78
4.390303e-001	79
4.196886e-001	80
3.641762e-001	81
3.310298e-001	82
2.957758e-001	83
2.784382e-001	84
2.666328e-001	85
2.593699e-001	86
2.553627e-001	87
2.248398e-001	88
2.209609e-001	89
2.145529e-001	90
2.114540e-001	92
1.985258e-001	95
1.769884e-001	96
1.671344e-001	97
1.541983e-001	98
1.468597e-001	100
1.468032e-001	101
1.401213e-001	106
1.364358e-001	115
1.318788e-001	118
1.305074e-001	135
1.291987e-001	196
1.043371e-001	212
1.014687e-001	298
1.010082e-001	329
9.745996e-002	576
9.247423e-002	1064
8.853333e-002	1355
8.430348e-002	1527
8.058900e-002	1973
7.878736e-002	2435
7.030738e-002	5952
6.470968e-002	11176
6.050505e-002	53616
5.459454e-002	69203
4.952201e-002	245549
4.952201e-002	500000
